E1,E2,N,X,Y
3.76,0.0,ROHTOMANAUTO189,707803.5231000001,3578671.8205
1.64,0.0,ROHTOMANAUTO188,707843.2989000002,3578770.0208
275.0,0.0,KOTHI,705704.11,3578046.9600000004
8.07,-1.7599999904632568,DKUNDAUTO58,699805.9064,3581863.1543
7.55,-1.7599999904632568,DKUNDAUTO57,699802.4122,3581863.4493
1.62,0.09000000357627869,DKUNDAUTO56,699784.4548,3581874.0119
4.61,-5.340000152587891,DKUNDAUTO55,699764.7722,3581879.3752
0.19,-5.949999809265137,DKUNDAUTO54,699748.6551,3581879.8191
-0.11,-5.949999809265137,DKUNDAUTO53,699744.1302,3581878.2324
-3.76,-2.7300000190734863,DKUNDAUTO52,699724.1118,3581873.3689
-1.63,-7.590000152587891,DKUNDAUTO51,699704.3936,3581867.8014
-6.45,-5.619999885559082,DKUNDAUTO50,699685.5474,3581860.791
-2.24,-2.7899999618530273,DKUNDAUTO49,699673.9045,3581854.8522
-6.21,2.9600000381469727,DKUNDAUTO48,699677.9528,3581845.0333
1.15,0.28999999165534973,DKUNDAUTO47,699688.7631,3581827.8578
1.49,1.159999966621399,DKUNDAUTO46,699686.5183,3581807.5136
2.49,-1.2799999713897705,DKUNDAUTO45,699677.6508,3581752.2344
2.9,-1.059999942779541,DKUNDAUTO44,699697.6809,3581752.1904
-0.18,-0.3700000047683716,DKUNDAUTO43,699718.0556,3581756.8902
-2.16,0.0,DKUNDAUTO42,699738.6466,3581758.7114
-0.51,0.07000000029802322,DKUNDAUTO41,699759.1508,3581757.2703
3.35,1.090000033378601,DKUNDAUTO40,699779.0434,3581752.5303
5.13,-0.10999999940395355,DKUNDAUTO39,699798.5615,3581747.7266
9.85,-0.009999999776482582,DKUNDAUTO38,699819.2039,3581746.2565
11.07,7.860000133514404,DKUNDAUTO37,699838.8705,3581742.5098
12.43,8.720000267028809,DKUNDAUTO36,699858.5741,3581738.2778
12.29,-1.7400000095367432,DKUNDAUTO35,699857.3295,3581718.1963
8.55,0.699999988079071,DKUNDAUTO34,699837.2434,3581712.626
6.57,3.2799999713897705,DKUNDAUTO33,699816.6896,3581713.8652
-0.44,0.029999999329447746,DKUNDAUTO32,699796.6969,3581707.714
-2.74,0.0,DKUNDAUTO31,699775.7568,3581708.6234
-1.26,-0.029999999329447746,DKUNDAUTO30,699755.6073,3581711.8649
0.12,-0.3400000035762787,DKUNDAUTO29,699749.1184,3581712.1597
-1.11,-0.3400000035762787,DKUNDAUTO28,699738.6899,3581700.1841
1.82,-0.5400000214576721,DKUNDAUTO27,699720.9923,3581689.4476
-2.62,-4.179999828338623,DKUNDAUTO26,699701.6642,3581682.6801
-9.61,-3.390000104904175,DKUNDAUTO25,699681.5148,3581678.2885
-13.33,-7.880000114440918,DKUNDAUTO24,699664.7537,3581666.2771
-10.54,-6.690000057220459,DKUNDAUTO23,699661.7047,3581666.9439
-7.06,-2.240000009536743,DKUNDAUTO22,699646.4117,3581674.9544
2.2,0.5799999833106995,DKUNDAUTO21,699626.6682,3581679.5154
8.03,1.4800000190734863,DKUNDAUTO20,699607.9882,3581670.2613
2.21,-0.6000000238418579,DKUNDAUTO19,699590.6667,3581659.5724
8.73,2.0399999618530273,DKUNDAUTO18,699570.6532,3581657.9427
9.53,3.799999952316284,DKUNDAUTO17,699551.0805,3581650.4406
-0.53,-8.359999656677246,DKUNDAUTO16,699532.8232,3581641.7779
-6.06,-5.210000038146973,DKUNDAUTO15,699514.7286,3581632.4237
-7.65,-3.930000066757202,DKUNDAUTO14,699496.6724,3581623.5936
-1.86,-5.320000171661377,DKUNDAUTO13,699477.5389,3581615.9273
2.69,-6.28000020980835,DKUNDAUTO12,699459.8192,3581605.6866
-3.17,-1.4800000190734863,DKUNDAUTO11,699441.1149,3581597.1527
4.73,-4.099999904632568,DKUNDAUTO10,699424.0026,3581586.7167
3.2,-5.619999885559082,DKUNDAUTO9,699407.8349,3581574.3046
-6.69,-8.3100004196167,DKUNDAUTO8,699402.4338,3581554.6983
-8.44,-9.579999923706055,DKUNDAUTO7,699387.7398,3581540.9104
-8.46,-10.079999923706055,DKUNDAUTO6,699370.2869,3581529.4168
-8.05,2.259999990463257,DKUNDAUTO5,699351.3832,3581522.284
0.92,-0.3400000035762787,DKUNDAUTO4,699331.3497,3581521.0529
8.97,1.409999966621399,DKUNDAUTO3,699312.9188,3581528.8899
5.7,-0.25999999046325684,DKUNDAUTO2,699293.3312,3581523.5765
